state,state_abbrev,location,longitude,latitude,date,summary
Canada,Canada,Alberta,-116.5765035,53.9332706,,"About three years ago i encountered what I could only explain then as a deformed hyena. It was in the later part of the day under dusky condidtions and I was small game hunting at the time. I did not feel any fear because I was carrying my over-under shotgun at this time. It's eyes were kind of strange and I remember it had very pointy ears. It's head was almost cartoon like as it's snout had messed up over grown hair, it's fangs look unusaully long too. For sometime before I seen it I heard a very very long coughing noise, like a cat coughing up a fur ball. However this went on for a long time, so whatever did it had strong & large lung capacity. I doubt a lynx or cat could have been the noise maker. I have no idea if this dog like creature was the source of this strange and long coughing fit. Another strange thing along this trail, I always seemed to be under the watchful eyes of a high flying turkey vulture. Now these are newcomers to Alberta, but a few mating pairs have been reported up here, and this is common local knowledge that no one questions. This coughing bout I have heard at least oncve before in this specific area. Never seen the source in the nearby dense boreal forest. This wooded area is kind of on the edge of oil exploration and is an active work area now. So I don't hunt there anymore. Which is too bad as it's chalk full of small game such as rabbits and grouse. During this encounter the woods were un-naturally quiet. it's hard to move in many areas off trail because the ever green limbs reach so far close to the ground an upright person would be stooped over to move at any kind of speed in many areas. Quadrapeds have a definite advantage here over people, and the area is also ringed with swamps and marshy very uneven gorund that one could easily turn your ankle on. There were other strange moments then, I think when I did see this animal, I sat down on a large rock with my gun across my lap and caught the first glimpse, as it was circling me I think to catch my scent on the wind. I just caught a glimpse of it passing behind a tree in the dusky light conditions. It had hocks like a dog. But as it came around the tree, still on all four legs I noticed the front legs werre longer then the back legs, its back bowed upward and I got the distinct impression it's forntal back, chest and leg muscles were much more pronounced and muscular than it's back legs. I believe the front coat was a lighter color with some reddish tones too. Looked like a hyena loose in North America to my own eyes. It ws not a black bear. I am very familiar with bears. It was canine like, but not any canine I have ever seen before or since. My brother (he was not there) found a near perfect picture of another critter on line, on another crypto site, and the picture was said to be taken very near the Wisconsin River. In the picture it looked like it was on farmland corral or fenceline, in the early spring because of white and light snow cover. Was the near twin to what I saw that fall evening in Alberta. "
Canada,Canada,Deadwood Alberta,-117.458219,56.740963,,"I came across another report of a bipedal canine. I was at a Sportman's show here in Alberta & had been talking about Sasquatch with a group of people. After the discussion was over a young woman approached me and said that her father had seen ""a werewolf"" on their farm in the mid 1990s. She said that he was there at the show & she wondered if I would talk with him. I was more than happy to, as reports of bipedal canines are few and far between in Alberta. I was introduced to the father, who was less than happy that his daughter had told a stranger about his sighting of creature that isn't suppossed to exist. But after I told him who I was and what I did, he seemed relieved that I wasn't going to ridicule him. We went outside and sat at a picnic table, and he related the occurrence to me. Occurrence: The witness lives on a sizeable piece of land near Deadwood, Alberta. He raises, boards, and breeds horses for a living. One night in early August of 1996 the witness was awoken by the sounds of panicked horses; he said that they sounded as if they were being or were going to be attacked by something. He grabbed a 250,000 candlepower spotlight & a 20 gauge shotgun and headed out towards the sounds. It should also be noted that his dog refused to leave the house with him. This was very unusual, as the dog is trained for running off animals that may attempt to harm the horses. As he approached a corral were several shetland ponies were being kept, he spotted movement. He clicked on his spotlight and played the beam over the area, when the beam passed over a corner section of the corral he spotted what he thought was a large timberwolf. This surprised him, as he had never had problems with wolves before. Still, this ""wolf"" was making itself a problem, so he shouted ""Hey! Hah! Get the hell out of here!"" What happened next shocked and stunned him, the ""wolf"" spun towards him and stood up on its hind legs. He estimated that the creature's height was between 6.5 to 7 feet, the color was jet black, and the eyeshine was said to be greenish-yellow. He immediately pointed the shotgun at it and pulled back both hammers, when he did this the creature began to emit a growling sound/vocalization that the witness described as ""A steady and somewhat guttural growling"". He remembers whispering to himself ""Oh my god. This isn't possible..."" over and over again. As he was doing this the creature started to go into a crouch, the witness took this to mean that the creature was going to lunge at him so he fired the shotgun in its direction. The creature dopped onto all fours and bolted, faster than he thought possible for an animal to move, in the forest. After the creature moved out of view, the witness began to get a very uncomfortable feeling like he was being watched. What he described as an unreasonable fear came over him and he fled towards his home as fast as he could move. He considered calling the police, but soon cancelled that thought. What would he tell them? That he had just fired at a werewolf? No, he kept this to himself, only telling his daughter when she was in her late teens. I asked the witness if he thought he hit the creature with the shotgun blasts. He believes that he did, but the damage would have been minimal as he was using #7 birdshot, the worst that may have happened was that the pellets caused it stinging pain. The duration of the sighting was estimated to be between 45 seconds and one minute. The distance from the witness to the creature was estimated to be between 40 to 50 yards. The witness only ever told me his first name: Lloyd. He also mentioned that if I ever used this report online or elsewhere, to change his first name to something else. The headache this would cause him in his small comminity is something he wishes to avoid at all costs. He seemed quite surprised when I told him that creatures like this had been spotted all over the United States & even in Quebec. The witness seriously thought that this creature was a werewolf, as he had nothing else to compare it to. He said that he lived in worry (if not fear) for a number of years afterwards, wondering if it was going to pay him another visit. He biggest worry was that it may harm his wife and/or daughter. The creature was never sighted again by the witness, and no other similar reports have surfaced. I asked the witness if he thought this could have been a person in a costume, he gave a resounding NO to that question. He said it just looked too natural, and that the speed it moved with was something that a person in a suit could never accomplish. He also said that no one in the area would be foolish enough to pull a stunt like that, because the end result would most likely be them getting shot."
Canada,Canada,Deadwood Alberta,-117.458219,56.740963,,"I received a report about an unusual wolf/wolf-like creature from a fellow this past summer. He was hiking the Mount Baldy trail here in Alberta when the encounter occurred. The behaviour of the animal was also extremely ""unwolf-like"", it was unresponsive & unafraid of things that a wild animal would be afraid of. Anyway, here is the report as I recieved it. ""I managed to get a few days off of work so I decided to hit some of the trails to do some hiking and exploring, I chose the trails around Mt. Baldy because I had been there many times before and knew them well. I was carrying a canteen of water, a small backpack containing a small first aid kit, a couple of well wrapped packaged snack bars, a small emergency survival kit & my digital camera. I was also carrying a 410 single-shot shotgun which I take with me on all my hikes & camping trips. I was about half of the way to the Mt. Baldy base trailhead when I was surprised by a very large wolf that just walked out on to the trail and stood there blocking my way, at first I was concerned because this creature was quite a bit bigger than any Timberwolf that I had ever seen, captive or wild. But the creature seemed content to simply stand and stare at me, I spoke to it & it didn't show that it had even heard the sound (no raising of the ears, etc), I yelled at it to get out of the way & it still did nothing. I began to feel uncomfortable so I started to back away, but the creature then came towards me. I stopped & so did it, I then took the shotgun off of my shoulder and fired it into the air, once again the creature did not seem to care. All it did was glance at the weapon, then right back to me again. By this time I had the nagging feeling in my head that this was not an ordinary wolf, it just did not behave like a wild animal, so I reached back into my backpack and removed my digital camera. This was the only thing that seemed to cause it to waver in its behaviour, for as I raised the camera to take a picture of it, it darted off into the woods. I took this moment to beat a retreat back down the trail towards a more open area. This next part may make you disbelieve the entire account, but I am going to say it regardless: When I looked back up the trail the creature was standing next to a large pine tree, but it was standing on its back legs!! I suppose it could have been using the tree for support, but it didn't look like it. I raised the camera once more and it disappeared back into the woods. Now what kind of wild animal is more afraid of a camera than of a gun?! This is why I don't believe I was dealing with an ordinary wolf, I may even go so far as to say it fringed on the paranormal. Needless to say I will not be hiking those trails ever again, armed or not. I know that you are a sasquatch researcher, but I couldn't find anyone else in Alberta that would know anything about this or even take the time to read it with out calling me a liar. I reported this large wolf to a **CO as I left the area. I told him that I had spotted an extremely large Timberwolf (easily the size of a Great Dane) on one of the trails, he replied that the wolves here don't get that big & that I must be mistaken. He probably thought I was a kook. And just a side note, I know for certain that this was not someone's escaped dog. It was a wild creature, it looked rough & had a feral look to it."" "
Canada,Canada,Deadwood Alberta,-117.458219,56.740963,,"In this report a husband and wife were out cross-country skiing. They had just crossed a remote country road & were about to ski across a field. On the other side of this field they spotted an extremely large wolf standing just inside of the treeline, the wife said she felt uncomfortable as the creature was staring right at them & following their movement. Her husband was carrying a .22 rifle on his back (on a sling), he brought the rifle down, chambered a cartridge, and fired into the ground in front of the creature. She said that the creature looked at the ground, then back at them, and began to growl. She said that the growl ""went up and down in sound"", and it was very deep & menacing. She said that her husband shouldered his rifle again but did not fire, what really gave her the chills was the look on the creature's face. She felt that the creature knew that the rifle was small caliber & was not something that could kill it with one shot. Moments later her husband fired again, this time into a tree that was next to the creature. The creature didn't even flinch, but what it did next made both of them flee in terror. About 30 seconds after the second shot, the creature stood up on two legs. One of its front legs (arms?) was against the tree that her husband shot. The growling continued, but it had increased in volume by quite a bit & the creature was moving its jaws up and down, like it was gnashing its teeth. Her husband fired three shots directly at the creature, all three hitting it in the chest. The creature let out a drawn out scream/howl and ran off into the forest on two legs, they fled the other way back towards their vehicle. As they were skiing back they had to pass through a small area of forest, as they were passing through the forest they could hear something running towards them from a distance through the woods. They cleared the woods without anything happening, but when they broke out of the forest they estimated that whatever was chasing them was no more than 35-40 yards behind them. She had her cell phone with her & was thinking about using it to take a picture of the creature. As she was thinking this she suddenly got a ""feeling"" that if she took a photograph, the creature would kill both of them. She said that the feeling was so strong that she immediately shoved the phone in her pocket. It wasn't as if the creature sent her a psychic message or anything, it was just a feeling. One thing she mentioned, in a hushed, embarrassed voice. When her husband and her made it back to their vehicle, she noticed that she had actually peed her pants. She didn't even notice until the adrenaline rush ended. She had actually been so scared that she lost control of her bladder, she always thought that was ""just something from the movies"". 
 -Location: Crowsnest Pass, Alberta (near the Town of Coleman).
 -Date: December 1/ 2012.
 -Creature's color: Dark black.
 -Height, 4 legs: 3 - 3.5 feet.
 -Height, 2 legs: 6.5 - 7.5 feet.
 -Sighting duration: 1 minute to 1.5 minutes.
 -Sighting distance: 65 - 70 yards.
 -Time of day: 11:30 am - 12:30 pm.
 -Weather conditions: Cold, overcast, no wind, chance of snowfall. "
Canada,Canada,Gillam Manitoba,-94.7748443,56.33341,,"I saw something that put a big scare into me. I'm going describe it - not sure you'll believe it, but I'm certain about what I saw that day. This happened in August 2009 as I was driving to my husband's place of employment. We live in Gillam, Manitoba and he is an electrician for one of the generating stations on the river. It was close to 3 PM. I had just turned off one of the residential roads near my home head-ing east on PR280. About a 1/2 mile after my turn, I caught a glimpse of something tall moving through the trees to my right. Then sudden-ly, it jumped onto the shoulder of the road and stood there as I drove by. I looked in the mirror and saw it quickly cross to the other side of the road. I picked up speed and didn't stop until I reached the station. I had chills all over. I got a decent look at it. It had a large wolf head, but it was standing upright on legs which looked man-like. I didn't see arms as I passed by, but I did see arms swaying back and forth when I looked in the mirror as it crossed the road. The coloring of the head and body hair was charcoal with darker patches. If it was an actual gray wolf, then it was the largest one I had ever heard of. I thought that someone was playing tricks, but that wouldn't make sense since (I think) it was during the hunting season. I did tell my husband, who later checked the area where I saw it. He said that there were reports of a very large wolf along the river a year or two before, but he had not heard anything beyond that. I still don't know if he believes me. I also said something to my uncle (through marriage) who is Chippewa. My uncle told me that it was not a ma'iingan (wolf) and that I must for-get about it. He then recited some words under his breath and told me not to mention it again. That kind of freaked me out. Since it was 5 years ago, I haven't thought much of it - until I read a newspaper article about the dogman and sightings people had in other locations. "
Canada,Canada,Léry Quebec,-73.8059179,45.3444129,,"An old friend and I cross the path of a dogman in the Centre écologique Fernand-Seguin in Chateauguay, a city situate in the province of Québec just at the south shore of Montreal. One week before our encounter, without knowing about it not until after our own encounter, the father of my friend encounter one in Lery, a town next to Chateauguay and connected to the natural park. The Chateauguay sighting happen during the summer of 2005, but for a long time, i always believe it was 2008 (( because i am bad at remembering date )), but my friend ((the second witness)) have recently refresh my memory about it. I am telling you that because i have already fill a report a couple years ago which can be found on this map written in a terrible english, with the wrong year and some missing information the father of my friend didn't tell us at this point ; https://www.google.com/maps/d/u/0/viewer?mid=186_7hq4gxioA6hHZLmaWpCJWCng The chateauguay encounter ; the creature have following us all along the border of the forest in the entrance zone of the park, doing weird canin sounds, like it was upset or something, We managed to keep our calm the much we can and heading to the car which was at the fence directly at the entrance door of the natural park. At the moment we enter the car and my friend open the light of the car, my friend saw a 6 foot tall dogman looking right at the him at the other side of the fence, like at 2-3 meter from his car door. He only saw some of its facial feature and the eyes shines. (( Don't ask the color, he is daltonian..)) It was enough to get afraid like hell and move the car away of there. I never managed to saw the dogman directly and the creature didn't follow us after we departed. Lery sighting. which happen 1 week ish before our encounter ; The father of my friend and the ex-boyfriend of the sister of my friend get out of their chalet one night after hearing a weird commotion behind the chalet. ((By the way, the Chalet is build at the edge of a very big marsh, which connected to the natural park. )) My friend was there that night, but he didn't exist the chalet only at the end of the encounter. When the two of them arrived behind to find out what cause all of the noises, both of them saw a very large black dog, with large shoulder, eating something in the brush at 6-7 meter of them. The creature turn away and face them rapidly and begin to growing at them. The father follow up his instinct and get a large stick near of him and prepared himself for the worse. At this very moment, the creature stood up, make a very small step or two toward him continuing his growling. The father was shocked up from the scene and his daughter-boyfriend become white like a ghost. Few seconds after, the dogman step aside very fast, return on all four, run a very short distance to jump directly into the marsh to dissapear forever. My friend finally exist the chalet to join his father and his sister boyfriend only when the dogman escaped on all four, so for him at this time, it was only a very strange large dog. His father and the now ex-sister boyfriend NEVER tell to my friend the dog creature have stood up until my friend get his own encounter with me 1 week later. Since then, we speculated all of us have saw the same dogman or maybe a member of the same pack because of the forest connection between the natural park and his chalet. My friend family never saw any dogman again around the chalet since this summer, so we dunno if it was only passing by the sector that summer or it living around the sector but generally avoiding humans at all cost OR the peoples around don't want to talk about it to anyone. I don't have any other eyewitness of dogman in this natural park...maybe it was happen but i guess peoples will never dare to speak about it."
Canada,Canada,New Brunswick,-66.4619164,46.5653163,,"My grandfather told me this story when I was a teenager. I’m 52 now. My granddad grew up in the woods of Central New Brunswick, in a very remote area, where only survivalists go now. Their whole family lived out in the sticks. They lived by hunting, fishing, trapping, and some logging.

Granddad said, when he was a teenager, he and his older brother, Duke, were up, in the early hours, checking traplines, on an old motorbike. it was early fall. Frost was on the grass and early morning mists still hung around the forest edges. He was rolling cigarettes with his brother and they were out of matches, so they dipped a bit of cloth in the gas tank and ignited it off the coil wire, while duke kicked the bike over. The sound of a bike being kicked over, without an ignition, is sort of like an animal call. That’s how my granddad described it. Anyways; just as they started smoking their cigarettes, my grandfather noticed something bounding through the tree line, toward them. Granddad said it ran in a way a bear did, but it stopped several yards away from them and stood up, on its hind legs. It was still too far away to tell what it was, but they assumed it was a black bear because they are very common in New Brunswick. That’s when it began walking, upright, toward them. As it got nearer, Granddad said it looked like a huge Werewolf! His family origin was German, so this was not unknown. it got as close as 20 feet away from them and then began to eye them closely. It sniffed their smokes and then turned and hopped/ran back to the trees. Granddad said they were not scared. He said they were only shocked that such a creature was living in the woods. Granddad said it was taller than any man, had a huge head, evil eyes, long, upright ears, hands with long claws, and had hair all over its body. I can’t remember what color he said its fur was, but he said it had wolf like legs."
Canada,Canada,Ontario,-85.3232139,51.253775,,"I was driving home from work on a 6-lane highway, heading west into Hamilton, Ontario. As I drove, on my side of the highway, I saw a dog cross from the left side to the right. That area is full of trees, bushes, channels, and ravines of water that are off-shoots of Lake Ontario. When I saw the dog, it was approximately 1/2 of a kilometer ahead of me. The astonishing aspect of this dog (I’m certain it was a dog) was that its length from nose to rump (excluding its tail) covered almost the full width of the lane. 8 FEET!!! Where it was heading was back into a small valley filled with heavy forestation and a ravine. I couldn’t believe a dog could grow to that size.

I still remind my boyfriend of this occasionally. I have no witnesses."
Canada,Canada,"Saint-Georges, Quebec",-70.670352,46.1229184,,"


In June of 1995 a man sightseeing in Quebec snapped 76 photos and made 4 videos of an area known as Parc des 7 Chutes, or Seven Chutes Park, near Saint-Georges de Beauce, Quebec. As he browsed through the pictures, some-thing odd caught his eye in photo num-ber 32. There appeared to be some-thing strange standing amid the trees. When the photo was enlarged, a tall brown figure with a baboon like snout becomes clearer. Not only that, it seems to be clutching a white dog, and appears to be staring towards the photographer. He had not seen it when he took the pictures. The photographer (who wishes to remain anonymous) went back to the area and had photos taken with a man standing in the same spot for com-parison, as well as to see if there could be another explanation. Some skep-tics have suggested it is a rock formation but the subsequent area photos do not support this theory. Others claim it's simply a case of pareidolia, the phenomena of seeing faces or other distinct images in objects such as clouds, tree formations, or even a cinnamon roll. Remember the famous cinnamon roll that had the uncanny likeness to Mother Theresa of Calcut-ta? There seems to be more than that to this particular image, however. So what is the thing, and why is it holding a small dog? If it's a bigfoot, it doesn't match up with most descriptions by bigfoot eyewitnesses. This ani-mal has a snout like a dog or wolf, leading some to call it a ""Dogman"" or a werewolf. 


"
Alaska,AK,Matanuska Valley,-149.2535787,61.5775642,10/27/1998,"10/27/1998 - My encounter took place many years ago. I never had the faintest explanation for it until a couple months ago, when I randomly stumbled across Dogman on the internet. I was in my early 20s, working swing shifts at the time and commuting about 100 miles each way, so it was usually around 2:00 in the morning by the time I got home. I saw the 'monster' (as I called it) on the northern-most section of Trunk Road in the Matanuska Valley, in Alaska. This area is roughly smack in between the towns of Palmer and Wasilla. I was only about 10 miles from home at that point, so it must have been around 2:00 a.m. Trunk Road is a narrow, 2-lane road, consisting of nothing but twists and turns. The surrounding terrain is somewhat swampy and thick with black spruce. It was late October; days before Halloween. There was no snow on the ground, but it was cold enough to be wary of ice. I was driving an '82 Subaru SW, going about 20 MPH around a curve, when my headlights caught a large, dark figure up ahead. I'm bad at judging distance; maybe 6 car lengths away. I instinctively let off the gas, coasting closer. At first I assumed it was a moose, as the area is infested with them; but no, it was standing upright. Bear, then. No, not a bear. It looked so strange... tall enough to be an uncommonly large bear, but far too slender, and it looked like it had spikes running down its neck and back. A Halloween prop? Odd but effective place for one. All those thoughts ran through my head in a fraction of a second. The car was still coasting closer and I could see more details; it was standing in profile, gazing across the road. I could clearly see its wolfish muzzle, large, upright ears; the 'spikes' on its back were in fact clumps of fur. Its spine curved in a smooth, very natural-looking way. It was standing in the ditch, inches from the pavement. Because I was focused on its upper body, I do not recall anything about its back legs or if it had a tail. I did see its front legs though; very 'doggy' looking, hanging awkwardly down and slightly toward its front, exactly as you'd expect if a dog stood upright. While it clearly had a canine look, there was still something 'off' about it that I cannot articulate. It was perfectly still, and at this point, given the proximity to Halloween, I was quite convinced it was some sort of Halloween prop, because it was clearly not any kind of existing animal. I was deeply impressed and gently stepped on the brakes, intending to stop and examine it closely. Then it turned its head towards me. In the tiny fraction of a second that it took for it to swivel its head, I knew I had made a terrible mistake. The fluidness of its movement removed any and all doubt that this was some kind of prop. It was horribly, terrifyingly alive. The pale, off-white glow of its eyeshine in the headlights destroyed any possibility of a human in a costume. I think I sat there gaping at it in shock for a few seconds, the car barely moving by now, but still inching closer. As I was almost upon it---I think it could have leaned forward and touched the car if it had wanted---I had to look up to see its face; again I'm a bad judge of such things, but I am 5'4"" and it was a hell of a lot taller than me. Tall like a polar bear standing. 7 feet? 8? I really can't say. I snapped out of my trance and slammed on the gas. The car fishtailed and I prepared myself for death-by-monster, as I was certain I'd end up in the ditch, but the tires caught the pavement and I drove like a complete maniac all the way home. I did not look back. I have only been on that section of road a few times since, never alone and never in the dark. For the next several years of driving that commute, I went 20+ miles out of the way to avoid Trunk Road. The thing never made any aggressive moves, but there was something about it that felt very... I don't know... predatory. I never saw anything remotely like it again and never heard any stories about it in the area."
